state/州,district/地区,market,commodity_name/名字,min_price,max_price,date,类别+10
1,1,1,1,63.25,79.55,522,10
1,2,10,1,80.05,80.05,522,9
1,3,3,1,90,155,522,10
1,4,11,1,94.5,112.5,522,10
1,4,12,1,21.25,148.5,522,10
2,5,5,1,80,132,522,9
3,6,13,1,9.77,9.95,522,10
3,6,14,1,100.5,120.9,522,10
4,7,15,2,46.01,46.5,522,10
4,8,8,2,48,53,522,10
4,9,16,2,22.15,46.41,522,10
2,10,17,2,41,46.2,522,10
2,5,5,3,124,124,522,9
4,8,8,4,74,92,522,10
4,8,8,5,40,44,522,10
4,8,18,6,8,10,522,10
2,10,17,7,15,16,522,10
2,5,5,7,17.3,18.11,522,10
3,6,13,7,16,18,522,6
1,3,3,8,50,99.95,522,10
1,1,19,8,52.55,52.55,522,10
4,8,20,8,70,80,522,10
1,4,21,9,2.5,5,522,10
1,1,22,10,19,24,522,10
4,8,20,10,28,32,522,10
1,4,21,11,5,5,522,10
4,8,20,11,24,28,522,10
1,1,22,12,25,33,522,10
1,2,23,13,54.85,105,522,9
1,1,1,13,32.5,53.25,522,10
1,4,24,13,54.6,55,522,10
1,2,25,13,54.5,55.4,522,9
1,2,25,13,54.95,55.3,522,10
1,2,10,13,54,55.6,522,10
1,3,26,13,47.5,52.3,522,10
1,3,3,13,50,54.2,522,10
1,4,11,13,54.9,55.5,522,11
1,3,27,13,50,53.8,522,10
1,1,28,13,51,54,522,10
1,2,29,13,54.75,55.9,522,10
1,2,29,13,54.5,55,522,10
1,2,29,13,54.4,55,522,10
1,2,29,13,55,55.2,522,10
1,4,30,13,54.25,55.45,522,10
1,4,31,13,54.25,55.6,522,10
1,4,31,13,54.5,55.2,522,9
1,4,31,13,54.25,55.35,522,13
4,8,8,14,53,59,522,10
4,8,8,16,110,230,522,13
1,1,1,15,51,65.75,522,10
1,3,3,15,50,90,522,10
2,5,5,15,39,77,522,10
3,6,14,15,69.92,77.11,522,10
1,1,1,17,47.4,62.35,522,10
1,3,26,17,52.2,57.1,522,10
1,3,3,17,52.5,60.75,522,10
1,1,19,17,50,62.7,522,10
1,1,28,17,54,61.25,522,10
4,8,18,18,6,14,522,9
4,8,20,18,23,25,522,10
1,1,1,19,85,162.5,522,10
1,4,24,19,123.55,152.5,522,10
1,2,25,19,150,157.5,522,10
1,2,10,19,110,152.15,522,9
1,3,26,19,120,160.25,522,9
1,3,3,19,122.75,160.25,522,10
1,4,11,19,123.05,160,522,10
1,3,27,19,145,158.5,522,10
1,1,19,19,161.6,161.6,522,9
1,1,28,19,147.5,165,522,10
1,2,29,19,138,170,522,10
1,2,29,19,145.5,156.6,522,10
1,4,12,19,130,179.5,522,10
2,5,5,19,106,159,522,10
4,8,8,20,92,104,522,10
4,8,8,21,48,80,522,9
3,6,13,21,12,55,522,9
3,6,14,21,15,67,522,10
